,Open,High,Low,Close,Volume,Datetime,prediction_close,batch_open,trade,return_of_rate,cumulative_return_of_rate,mdd,rate,up,down,au,ad,rsi,rsi_shift_1,noise,noise_ma,ma5,ma10,ma20,ma50,ma100,partition,ma+return_of_rate,ma+cumulative_return_of_rate,ma+mdd,ma+rate,rsi+return_of_rate,rsi+cumulative_return_of_rate,rsi+mdd,rsi+rate,noise+return_of_rate,noise+cumulative_return_of_rate,noise+mdd,noise+rate,ma_noise+return_of_rate,ma_noise+cumulative_return_of_rate,ma_noise+mdd,ma_noise+rate,ma_rsi+return_of_rate,ma_rsi+cumulative_return_of_rate,ma_rsi+mdd,ma_rsi+rate,rsi_noise+return_of_rate,rsi_noise+cumulative_return_of_rate,rsi_noise+mdd,rsi_noise+rate,ma_rsi_noise+return_of_rate,ma_rsi_noise+cumulative_return_of_rate,ma_rsi_noise+mdd,ma_rsi_noise+rate
2017-04-10,1206.2,1219.71,1195.0,1209.25,4416613.87,2017-04-10 00:00:00,1220.6450380655522,1206.2,0,1,1,0.0,0.0,0,0,,,,,,,,,,,,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-11,1209.25,1229.0,1198.02,1218.99,4229830.76,2017-04-11 00:00:00,1201.654160079002,1209.25,0,1,1,0.0,0.0,9.740000000000009,0,,,,,0.8765688002843752,,,,,,,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-12,1218.99,1224.57,1208.0,1212.17,4224875.8,2017-04-12 00:00:00,1219.5535359319133,1218.99,0,1,1,0.0,0.0,0,6.819999999999936,,,,,0.6856048624648953,,,,,,,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-13,1212.17,1219.45,1141.0,1172.91,8410777.07,2017-04-13 00:00:00,1211.5146292249472,1212.17,0,1,1,0.0,0.0,0,39.25999999999999,,,,,0.5884158359301179,,,,,,,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-14,1172.91,1193.0,1142.0,1170.34,10475598.06,2017-04-14 00:00:00,1173.5054728227392,1172.91,0,1,1,0.0,0.0,0,2.5700000000001637,,,,,0.4995546338662872,,1203.904,,,,,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-15,1170.34,1192.5,1165.0,1173.45,2128067.82,2017-04-15 00:00:00,1166.220964040132,1170.34,0,1,1,0.0,0.0,3.1100000000001273,0,,,,,0.9496079610150998,,1196.732,,,,,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-16,1173.45,1179.3,1150.0,1162.31,3094769.46,2017-04-16 00:00:00,1174.4134767130013,1173.45,0,1,1,0.0,0.0,0,11.1400000000001,,,,,0.886909581310266,,1189.5720000000001,,,,,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-17,1162.31,1192.5,1161.0,1176.54,4210491.81,2017-04-17 00:00:00,1160.0247694298173,1162.31,0,1,1,0.0,0.0,14.230000000000018,0,,,,,0.6197967521286314,,1178.236,,,,,,1,1,0.0,0.0,1,1,0.0,1,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0,1,1,0.0,0.0
2017-04-18,1176.54,1210.0,1175.95,1202.58,6636764.68,2017-04-18 00:00:00,1177.667628967644,1176.54,0,1,1,0.0,0.2,26.039999999999964,0,,,,,0.5482556784289012,,1171.1100000000001,,,,,,1.0044265388342088,1.0044265388342088,0.0,0.2,1,1,0.0,1,1,1,0.0,0.0,1.0022132694171044,1.0022132694171044,0.0,0.1,1,1,0.0,0.2,1,1,0.0,0.0,1,1,0.0,0.1
2017-04-19,1202.58,1209.99,1190.0,1203.98,7247878.76,2017-04-19 00:00:00,1205.3778134488969,1202.58,0,1,1,0.0,0.4,1.400000000000091,0,,,,,0.23524500838044093,,1177.0439999999999,1190.474,,,,,1.0004656654858721,1.004894265606438,0.0,0.4,1,1,0.0,1,1,1,0.0,0.0,1.000232832742936,1.0024466174816296,0.0,0.2,1,1,0.0,0.4,1,1,0.0,0.0,1,1,0.0,0.2
2017-04-20,1203.98,1243.88,1201.66,1234.19,7299836.83,2017-04-20 00:00:00,1204.0390108132328,1203.98,0,1,1,0.0,0.4,30.210000000000036,0,,,,,0.9299654064089896,,1183.772,1190.252,,,,,1.010036711573282,1.0149800995119749,0.0,0.4,1,1,0.0,1,1,1,0.0,0.0,1.005018355786641,1.0074772512652672,0.0,0.2,1,1,0.0,0.4,1,1,0.0,0.0,1,1,0.0,0.2
2017-04-21,1234.19,1252.32,1231.65,1243.61,6189234.63,2017-04-21 00:00:00,1236.8203621114117,1234.19,0,1,1,0.0,0.4,9.419999999999845,0,,,,,0.2844644482244503,,1195.9199999999998,1192.7459999999999,,,,,1.003053014527747,1.018078848501159,0.0,0.4,1,1,0.0,1,1,1,0.0,0.0,1.0015265072638735,1.009015172607511,0.0,0.2,1,1,0.0,0.4,1,1,0.0,0.0,1,1,0.0,0.2
2017-04-22,1243.61,1247.15,1199.0,1233.2,5065733.74,2017-04-22 00:00:00,1247.1417949741785,1243.61,0,1,1,0.0,0.4,0,10.409999999999854,,,,,0.544269814804193,,1212.1799999999998,1195.208,,,,,0.9966516834055693,1.0146699981982836,0.33483165944306703,0.4,1,1,0.0,1,1,1,0.0,0.0,0.9983258417027847,1.007325921484274,0.16741582972152314,0.2,1,1,0.0,0.4,1,1,0.0,0.0,1,1,0.0,0.2
2017-04-23,1233.2,1248.99,1223.42,1241.99,3219987.14,2017-04-23 00:00:00,1228.2723114716343,1233.2,0,1,1,0.0,0.4,8.789999999999964,0,7.352857142857147,5.014285714285718,59.45477648146008,,0.783801183037085,,1223.5120000000002,1197.311,,,,,1,1.0146699981982836,0.33483165944306703,0.4,1,1,0.0,1,1,1,0.0,0.0,1,1.007325921484274,0.16741582972152314,0.2,1,1,0.0,0.4,1,1,0.0,0.0,1,1,0.0,0.2
2017-04-24,1241.99,1254.0,1234.0,1253.58,3787704.79,2017-04-24 00:00:00,1245.8604465447263,1241.99,1,1.0037327192650505,1.0037327192650505,0.0,0.4,11.589999999999918,0,8.180714285714284,5.014285714285718,61.998592540464436,59.45477648146008,0.6562394577766149,,1231.394,1204.2189999999998,,,,,1.0037327192650505,1.018457476448227,0.0,0.4,1.009331798162626,1.009331798162626,0.0,1,1,1,0.0,0.0,1.0018663596325252,1.0092059539209286,0.0,0.2,1.0037327192650505,1.0037327192650505,0.0,0.4,1,1,0.0,0.0,1.0018663596325252,1.0018663596325252,0.0,0.2
2017-04-25,1253.58,1280.0,1251.07,1269.0,6651231.27,2017-04-25 00:00:00,1253.6650805558916,1253.58,1,1.0049203082372087,1.008671393631606,0.0,0.4,15.420000000000073,0,8.586428571428574,5.014285714285718,63.13218843548132,61.998592540464436,0.42050363344222574,,1241.3139999999999,1212.5430000000001,,,,,1.0049203082372087,1.023468601158842,0.0,0.4,1.0123007705930216,1.0217473570640665,0.0,1,1,1,0.0,0.0,1.0024601541186042,1.011688756104987,0.0,0.2,1.0049203082372087,1.008671393631606,0.0,0.4,1,1,0.0,0.0,1.0024601541186042,1.0043311052834663,0.0,0.2
2017-04-26,1269.0,1330.0,1265.0,1287.99,11237494.55,2017-04-26 00:00:00,1271.6663872544825,1269.0,1,1.005985815602837,1.0147091145977414,0.0,0.4,18.99000000000001,0,9.942857142857147,4.527142857142865,68.71359462928223,63.13218843548132,0.4669916427607935,,1248.276,1222.098,,,,,1.005985815602837,1.0295948954806724,0.0,0.4,1.0149645390070923,1.0370373352442452,0.0,1,1,1,0.0,0.0,1.0029929078014184,1.0147166472757407,0.0,0.2,1.005985815602837,1.0147091145977414,0.0,0.4,1,1,0.0,0.0,1.0029929078014184,1.0073369756836763,0.0,0.2
